repo_name_with_owner,total_pr,total_pr_reviews,index
fighting41love/funNLP,23,4,73
nomic-ai/gpt4all,640,63,74
MunGell/awesome-for-beginners,1116,3,75
FuelLabs/sway,3080,301,76
bregman-arie/devops-exercises,341,49,77
rustdesk/rustdesk,2730,20,78
leonardomso/33-js-concepts,369,2,79
kdn251/interviews,87,58,80
microsoft/playwright,13862,87,81
twitter/the-algorithm,335,65,82
2dust/v2rayN,261,19,83
Anduin2017/HowToCook,651,111,84
hoppscotch/hoppscotch,2230,64,85
strapi/strapi,9899,107,86
adam-p/markdown-here,57,2,87
openai/whisper,162,53,88
python/cpython,48404,272,89
lydiahallie/javascript-questions,511,110,90
kelseyhightower/nocode,156,106,91
FuelLabs/fuel-core,1064,526,92
tesseract-ocr/tesseract,1556,2,93
3b1b/manim,780,5,94
ventoy/Ventoy,395,7,95
xtekky/gpt4free,623,19,96
TheAlgorithms/Java,3833,30,97
swisskyrepo/PayloadsAllTheThings,618,2,98
ByteByteGoHq/system-design-101,28,19,99
chrislgarry/Apollo-11,437,22,100
d2l-ai/d2l-zh,1248,32,101
sdmg15/Best-websites-a-programmer-should-visit,851,71,102
bradtraversy/design-resources-for-developers,1293,2,103
openai/openai-cookbook,655,81,104
shadcn-ui/ui,626,78,105
ocornut/imgui,1116,2,106
fffaraz/awesome-cpp,848,1,107
ggerganov/llama.cpp,2709,127,108
Eugeny/tabby,3898,10,109
binary-husky/gpt_academic,232,3,110
ElemeFE/element,4814,46,111
ollama/ollama,1139,131,112
azl397985856/leetcode,309,33,113
danielmiessler/SecLists,714,2,114
binhnguyennus/awesome-scalability,72,16,115
facebook/docusaurus,5822,142,116
alacritty/alacritty,2263,170,117
meta-llama/llama,132,635,118
localstack/localstack,5212,40,119
nuxt/nuxt,5442,17,120
ageitgey/face_recognition,194,19,121
zylon-ai/private-gpt,368,169,122
Solido/awesome-flutter,864,1,123
sherlock-project/sherlock,872,38,124
ryanoasis/nerd-fonts,529,25,125
CorentinJ/Real-Time-Voice-Cloning,119,92,126
gpt-engineer-org/gpt-engineer,525,78,127
nektos/act,1028,84,128
google/material-design-icons,159,22,129
google/guava,2095,3,130
deepfakes/faceswap,513,68,131
wasabeef/awesome-android-ui,217,2,132
rust-lang/rustlings,1348,42,133
PKUFlyingPig/cs-self-learning,252,39,134
louislam/uptime-kuma,1342,117,135
juliangarnier/anime,137,11,136
jgthms/bulma,981,7,137
AppFlowy-IO/AppFlowy,2686,76,138
prettier/prettier,9186,117,139
abi/screenshot-to-code,62,23,140
NationalSecurityAgency/ghidra,1007,74,141
commaai/openpilot,12256,104,142
NARKOZ/hacker-scripts,112,1,143
xai-org/grok-1,37,7,144
OpenInterpreter/open-interpreter,365,73,145
labmlai/annotated_deep_learning_paper_implementations,110,2,146
youngyangyang04/leetcode-master,2270,6,147
Textualize/rich,1001,17,148
lencx/ChatGPT,140,7,149
ultralytics/yolov5,2627,28,150
chinese-poetry/chinese-poetry,156,4,151
jgraph/drawio-desktop,33,6,152
iamadamdev/bypass-paywalls-chrome,194,44,153
sharkdp/bat,1502,179,154
cypress-io/cypress,7358,96,155
minimaxir/big-list-of-naughty-strings,124,1,156
mastodon/mastodon,16772,24,157
iamkun/dayjs,870,41,158
golang-standards/project-layout,108,56,159
FiloSottile/mkcert,108,70,160
iperov/DeepFaceLab,124,5,161
jesseduffield/lazygit,1450,140,162
charlax/professional-programming,57,8,163
ziishaned/learn-regex,159,37,164
FuelLabs/fuels-rs,766,393,165
v2ray/v2ray-core,602,21,166
FuelLabs/fuels-ts,1217,201,167
BurntSushi/ripgrep,799,47,168
marktext/marktext,1023,250,169
vuejs/core,3906,125,170
karan/Projects,68,5,171
justjavac/awesome-wechat-weapp,304,3,172
typescript-cheatsheets/react,462,89,173
topjohnwu/Magisk,2199,22,174
android/architecture-samples,413,16,175
facebookresearch/segment-anything,62,4,176
rclone/rclone,2295,6,177
wagoodman/dive,180,49,178
dair-ai/Prompt-Engineering-Guide,306,3,179
kamranahmedse/design-patterns-for-humans,73,8,180
aymericdamien/TensorFlow-Examples,113,40,181
parcel-bundler/parcel,3003,256,182
agalwood/Motrix,264,49,183
meilisearch/meilisearch,1875,21,184
Avik-Jain/100-Days-Of-ML-Code,25,2,185
gorhill/uBlock,382,1,186
laurent22/joplin,3980,12,187
romkatv/powerlevel10k,227,21,188
vercel/hyper,3992,7,189
Z4nzu/hackingtool,96,56,190
firstcontributions/first-contributions,82060,7,191
pmndrs/zustand,734,112,192
nocodb/nocodb,3562,7,193
withastro/astro,6345,308,194
go-gitea/gitea,17091,295,195
k88hudson/git-flight-rules,284,21,196
jakevdp/PythonDataScienceHandbook,100,2,197
poteto/hiring-without-whiteboards,1404,3,198
microsoft/generative-ai-for-beginners,255,75,199
google/zx,274,129,200
